id,RANK,MRR,nDCG,P@1,P@5
1004,replies,0.333333333333,0.5,0.0,0.2
1004,sentiment_url,0.333333333333,0.5,0.0,0.2
1004,favoriteAsker,0.333333333333,0.5,0.0,0.2
1004,askerFeedback_url,0.333333333333,0.5,0.0,0.2
1004,singleTweet,0.333333333333,0.5,0.0,0.2
1004,favorite,0.333333333333,0.5,0.0,0.2
1004,askerFeedback_cos,0.333333333333,0.5,0.0,0.2
1004,favorite_url,0.333333333333,0.5,0.0,0.2
1004,sentimentAsker,0.333333333333,0.5,0.0,0.2
106,askerFeedback,1.0,0.883827569587,1.0,0.6
106,sentiment,1.0,0.923747790803,1.0,0.8
106,cos,1.0,0.883827569587,1.0,0.6
106,url,1.0,0.983041248187,1.0,1.0
106,replies,1.0,0.923747790803,1.0,0.8
106,sentiment_url,1.0,0.983041248187,1.0,1.0
106,favoriteAsker,1.0,0.883827569587,1.0,0.6
106,askerFeedback_url,1.0,0.983041248187,1.0,1.0
106,singleTweet,0.5,0.811551484143,0.0,0.6
106,favorite,1.0,0.907715633003,1.0,0.8
106,askerFeedback_cos,1.0,0.923747790803,1.0,0.8
106,favorite_url,1.0,0.983041248187,1.0,1.0
106,sentimentAsker,1.0,0.883827569587,1.0,0.6
107,askerFeedback,0.0204081632653,0.329649934004,0.0,0.0
107,sentiment,1.0,0.556091450254,1.0,0.2
107,cos,0.0208333333333,0.331102140198,0.0,0.0
107,url,0.0212765957447,0.328284756586,0.0,0.0
107,replies,1.0,0.556091450254,1.0,0.2
107,sentiment_url,0.5,0.454207752481,0.0,0.2
107,favoriteAsker,0.0208333333333,0.331102140198,0.0,0.0
107,askerFeedback_url,0.5,0.454207752481,0.0,0.2
107,singleTweet,0.0204081632653,0.329393465948,0.0,0.0
107,favorite,0.0204081632653,0.329649934004,0.0,0.0
107,askerFeedback_cos,0.5,0.454642774328,0.0,0.2
107,favorite_url,0.5,0.454207752481,0.0,0.2
107,sentimentAsker,0.5,0.455850613868,0.0,0.2
1213,askerFeedback,0.333333333333,0.707100999458,0.0,0.2
1213,sentiment,0.166666666667,0.643104372701,0.0,0.0
1213,cos,0.333333333333,0.707100999458,0.0,0.2
1213,url,0.25,0.619371862774,0.0,0.4
1213,replies,0.166666666667,0.643104372701,0.0,0.0
1213,sentiment_url,0.142857142857,0.581111192282,0.0,0.0
1213,favoriteAsker,0.333333333333,0.707100999458,0.0,0.2
1213,askerFeedback_url,0.142857142857,0.581111192282,0.0,0.0
1213,singleTweet,0.2,0.641626608797,0.0,0.2
1213,favorite,0.25,0.68051720779,0.0,0.2
1213,askerFeedback_cos,0.166666666667,0.643104372701,0.0,0.0
1213,favorite_url,0.142857142857,0.581111192282,0.0,0.0
1213,sentimentAsker,0.333333333333,0.707100999458,0.0,0.2
98,askerFeedback,0.5,0.727362788914,0.0,0.4
98,sentiment,0.333333333333,0.677143049997,0.0,0.4
98,cos,0.5,0.727362788914,0.0,0.4
98,url,1.0,0.777112947275,1.0,0.4
98,replies,0.333333333333,0.677143049997,0.0,0.4
98,sentiment_url,0.5,0.677360714586,0.0,0.4
98,favoriteAsker,0.5,0.727362788914,0.0,0.4
98,askerFeedback_url,0.5,0.677360714586,0.0,0.4
98,singleTweet,0.333333333333,0.694031038732,0.0,0.4
98,favorite,0.5,0.727362788914,0.0,0.4
98,askerFeedback_cos,0.333333333333,0.677143049997,0.0,0.4
98,favorite_url,0.5,0.677360714586,0.0,0.4
98,sentimentAsker,0.5,0.727362788914,0.0,0.4
90,askerFeedback,0.5,0.854745442973,0.0,0.8
90,sentiment,1.0,0.849733209529,1.0,0.4
90,cos,1.0,0.967506063366,1.0,1.0
90,url,1.0,0.903281839594,1.0,0.6
90,replies,0.25,0.76322592838,0.0,0.4
90,sentiment_url,0.25,0.73370745705,0.0,0.2
90,favoriteAsker,0.5,0.854745442973,0.0,0.8
90,askerFeedback_url,0.25,0.73370745705,0.0,0.2
90,singleTweet,1.0,0.960058831862,1.0,1.0
90,favorite,0.25,0.758203845979,0.0,0.4
